time,open,high,low,close,Plot,New Moon,First Moon,Waning,Full Moon,Plot,Plot,Chars,Chars,Chars,Chars,Chars,Chars
1718019000,2299.16,2301.38,2298.75,2299.81,2294.5950000000003,NaN,NaN,NaN,NaN,2298.4965225428205,2323.5369017107037,0,0,0,0,0,0
1718019900,2299.78,2305.36,2299.18,2305.17,2296.585,NaN,NaN,NaN,NaN,2298.7582275411414,2323.354146469801,0,0,0,0,0,0
1718020800,2305.18,2306.79,2303.24,2305.97,2297.3,NaN,NaN,NaN,NaN,2299.041042147371,2323.181169888012,0,0,0,0,0,0
1718021700,2305.94,2308.79,2304.87,2307.19,2298.3,NaN,NaN,NaN,NaN,2299.360609121984,2323.0220537697232,0,0,0,0,0,0
1718022600,2307.2,2307.45,2304.77,2305.9,2298.3,NaN,NaN,NaN,NaN,2299.617055823083,2322.8516850754972,0,0,0,0,0,0
1718023500,2305.9,2306.45,2304.77,2306.25,2298.3,NaN,NaN,NaN,NaN,2299.877171281001,2322.6864941792237,0,0,0,0,0,0
1718024400,2306.22,2307.75,2305.1,2307.03,2298.3050000000003,NaN,NaN,NaN,NaN,2300.1576743680207,2322.53070816749,0,0,0,0,0,0
1718025300,2307.11,2307.88,2303.87,2304.01,2299.6800000000003,NaN,NaN,NaN,NaN,2300.3087459614317,2322.3464225140824,0,0,0,0,0,0
1718026200,2304.02,2306.37,2301.62,2303.87,2300.205,NaN,NaN,NaN,NaN,2300.448402982552,2322.1625775139423,0,0,0,0,0,0
1718027100,2303.83,2306.14,2300.45,2305.73,2300.365,NaN,NaN,NaN,NaN,2300.6555244342167,2321.999069279973,0,0,0,0,0,0
1718028000,2305.74,2306.66,2301.89,2303.88,2300.365,NaN,NaN,NaN,NaN,2300.7819744564044,2321.818780033406,0,0,0,0,0,0
1718028900,2303.85,2306.04,2303.18,2303.9,2300.365,NaN,NaN,NaN,NaN,2300.904249967918,2321.6404837146656,0,0,0,0,0,0
1718029800,2303.91,2306.48,2302.52,2306.33,2300.365,NaN,NaN,NaN,NaN,2301.11702447898,2321.4881405931264,0,0,0,0,0,0
1718030700,2306.31,2307.32,2302.37,2302.76,2300.365,NaN,NaN,NaN,NaN,2301.181454891569,2321.3017909354835,0,0,0,0,0,0
